project_slug,project_name
mint-tea-ethonline,Mint Tea
moonwell-fi,Moonwell
myseelia,Myseelia
nftearth,NFTEarth
nicenode,NiceNode
nifty-kit,NiftyKit
node-real,NodeReal
notional-finance,Notional
alto-io,OP Games
omni-swap,OmniSwap
onlydustxyz,OnlyDust
open-cann,OpenCann
openfort-xyz,Openfort
oxydjinn,OxyDjinn
pairwise-general-magic,Pairwise
paraswap,Paraswap
pentaclexyz,Pentacle
dspytdao,Pin Save
pin-save-dpytdao,Pin Save
pizzadao,PizzaDAO
plancker-labs,Plancker
playmint,Playmint
poolfish-xyz,Poolfish
qvrse-io,Qvrse-io
radardao-xyz,RadarDAO
samepage-network,SamePage
kazoku-silverdoor-ai,Senechal
showtime-xyz,Showtime
smartran,Smartran
smoothly-protocol,Smoothly
snapshot-labs,Snapshot
snekmate,Snekmate
solidity,Solidity
soulcial-discoverselab,Soulcial
sourcify-ethereum,Sourcify
steadefi,Steadefi
swapline,Swapline
heno-relief-game-sweetmantech,Sweetman
synpress-synthexio,Synpress
takafuldao,Takaturn
taterdao,TaterDAO
tenderly,Tenderly
third-web,ThirdWeb
timeswap-labs,Timeswap
tingbits,Tingbits
treegens,Treegens
tropykus,Tropykus
truquest,TruQuest
turbo-eth,TurboETH
umamidao,UmamiDAO
uniwhale-io,UniWhale
urbanika,Urbanika
validatoxyz,Validato
wanchain,Wanchain
weavrdao,WeavrDao
web3-911,Web3-911
web3drop,Web3Drop
whatsabi-shazow,WhatsABI
wormhole,Wormhole
zkemail,ZK Email
zeropoolnetwork,ZeroPool
zk-block-elefria-labs,Zk Block
zonicapp,ZonicApp
aikilabs,aikilabs
arbirise,arbirise
baker-fi,baker-fi
cloudmex,cloudmex
clrfund,clr.fund
coinvise,coinvise
debridge-finance,deBridge
dippixyz,dippixyz
dsrvlabs,dsrvlabs
efdevcon,efdevcon
eth-limo,eth.limo
exoblock,exoblock
glorylab,glorylab
gmlabsai,gmlabsai
gobitfly,gobitfly
hashscan,hashscan
hrzaree1,hrzaree1
midaswap,midaswap
mofalabs,mofalabs
momedapp,momeDapp
nimi-app,nimi-app
nom-land,nom-land
nomadweb,nomadweb
orb-club,orb-club
othub-io,othub-io
provable-things,pNetwork
reach-sh,reach-sh
rune-box,rune-box
signless-ux,signless
theblokc,theblokc
torquefi,torquefi
twittens,twittens
ustakingio,uSTAKING
viaprize,viaPrize
web3-oss,web3-oss
weichain,weichain
zkpodai,zkpod.ai
zlibweb3,zlibweb3
4everland,4EVERLAND
aihackers,AIHackers
accessgpt,AccessGPT
basepunkorg,Base Punk
blockhead-darryl-yeo,Blockhead
blue-sweep,BlueSweep
boardroom-inc,Boardroom
boring-dao,BoringDAO
btc-mirror,BtcMirror
bwarelabs,BwareLabs
ccpgames,CCP Games
cambiatus,Cambiatus
cannon-rs-badboilabs,Cannon-rs
catapulta-sh,Catapulta
censo-inc,Censo-Inc
chainpray,ChainPray
chainsafe,ChainSafe
chainlink,Chainlink
smartcontractkit,Chainlink
chainlist-defillama,Chainlist
code-423n4,Code4rena
crossbell-box,Crossbell
crowdmuse,Crowdmuse
crunchdao,CrunchDAO
dao-drops-dorgtech,DAO Drops
daomasons,DAOmasons
didshield,DIDShield
dom-money,DOM Money
dandelion-collective,Dandelion
dapposdao,DappOSDao
dappradar,DappRadar
dapptools-dapphub,DappTools
dataunion-app,DataUnion
deed3labs,Deed3Labs
defi-llama,DefiLlama
discovery-discovery-labs,Discovery
donorship,Donorship
dragverse,Dragverse
ethglobal,ETHGlobal
evmcrispr,EVMcrispr
endaoment,Endaoment
esteroids,Esteroids
ethstaker,EthStaker
ether-orcs,EtherOrcs
etherscan,Etherscan
everyname-xyz,Everyname
examp-llc,Examp-LLC
storeros,Eystorage
fairdatasociety,Fairdrive
familylyx,FamilyLYX
favorlabs,FavorLabs
crosschainlabs,FilMarket
fileverse,Fileverse
dinngo,Furucombo
galaxchat,GalaxChat
g7dao,Game7 DAO
goodentry-io,GoodEntry
greenarks,GreenArks
guildxyz,Guild.xyz
gwamilabs,GwamiLabs
hydaocast,HYDAOCAST
help-grow,Help-Grow
hemifyorg,HemifyOrg
herodotusdev,Herodotus
hextrust,Hex Trust
holograph,Holograph
huddle01,Huddle 01
ingonyama-zk,Ingonyama
injectivelabs,Injective
insta-dapp,InstaDapp
insuredao,InsureDAO
interlock-network,Interlock
iron-bank,Iron Bank
jiffy-labs,JiffyScan
jones-dao,Jones DAO
journodao,JournoDAO
justcause-smeee23,JustCause
kiwi-news-attestate,Kiwi News
kolektivo,Kolektivo
krebitdao,KrebitDAO
kromatika-finance,Kromatika
kyber-swap,KyberSwap
l2planet,L2 Planet
loop2earn,LOOP2EARN
layer2dao,Layer2DAO
layer-zero,LayerZero
layerswap,Layerswap
learnweb3dao,LearnWeb3
limechain,LimeChain
liquality,Liquality
loanshark,Loanshark
makewaterorg,MakeWater
metacrypt,Metacrypt
metalswap-defi-foundation,Metalswap
metronome-autonomoussoftware,Metronome
metronomo-xyz,Metronomo
migalabs,Miga Labs
monezoxyz,MonezoXyz
motus-dao,Motus-DAO
curvegrid-multibaas,MultiBaas
nevermined-io,Nevermind
newzchain,Newzchain
niftyswap,Niftyswap
notichain,NotiChain
onion-dao,Onion DAO
openocean-finance,OpenOcean
opensensepw,OpenSense
ormi-labs,Ormi Labs
otterscan,Otterscan
poapathon,POAPathon
plutusdao,PlutusDAO
questbook,Questbook
ragetrade,RageTrade
replicare-desci,Replicare
rigo-block,RigoBlock
robo-labs,Robo Labs
scope-lift,ScopeLift
slingshot,Slingshot
smoldapp,Smol Dapp
sound-xyz,Sound.xyz
stakedao,Stake DAO
stogramhq,StogramHQ
saonetwork,Storverse
streamethorg,StreamETH
summer-fi,Summer.fi
swapsicledex,Swapsicle
synthetix,Synthetix
tilataorg,TILATAorg
tablelandnetwork,Tableland
talent-dao,TalentDAO
templedao,TempleDAO
thebadge,The Badge
theforus,The Forus
tickerdao,TickerDao
vannalabs,VannaLabs
velodrome,Velodrome
voicedeck,VoiceDeck
warmosaic,WarMosaic
weatherxm,WeatherXM
web3arabs,Web3Arabs
web3utils,Web3Utils
willereth,Willereth
wireshape,Wireshape
worldcoin,Worldcoin
yieldyak,Yield Yak
zuzaluops,ZuzaluOps
attestate,attestate
auditdbio,auditdbio
byrnstack,byrnstack
charonamm,charonAMM
closerdao,closerdao
corpus-io,corpus-io
datalatte-ai,datalatte
decert-me,decert-me
devopsdao,devopsdao
dfmlabltd,dfmlabltd
dmail-web,dmail-web
encointer,encointer
etherplay,etherplay
ethers-io,ethers.js
etherspot,etherspot
ferrumnet,ferrumnet
fioletxyz,fioletxyz
handle-fi,handle.fi
icatgame,iCat Game
kkrt-labs,kkrt-labs
limes-eth,limes-eth
mohasdevs,mohasdevs
p1m-ortho,p1m-ortho
pado-labs,pado-labs
perpie-io,perpie-io
pluser-io,pluser-io
protofire,protofire
rabani-to,rabani-to
stateborn,stateborn
steamvzla,steamvzla
vartisans-aldenpang,vArtisans
valioxyz,valio.xyz
web3event,web3Event
wills-dao,wills-DAO
zenbiteth,zenbitETH
zink-lang,zink-lang
zkusdlabs,zkUSDLabs
relinkd,{r}elinkd
0xdeadlist,0xDeadList
0x-dead-list,0xDeadList
ambiretech,AmbireTech
arbitrumaf,ArbitrumAF
artblocks,Art Blocks
atilatech,Atila Tech
backstop-protocol,B.Protocol
badger-finance,Badger DAO
barn-bridge,BarnBridge
baseddotfarm,Based Farm
battledog-games,Battledogs
blockscout,Blockscout
c-kzg-4844-ethereum,C-KZG-4844
caladandao,CaladanDAO
carbonable,Carbonable
charmverse,CharmVerse
cirrolytix,Cirrolytix
clearpool-finance,Clearpool 
codechecks,Codechecks
coordinape,Coordinape
creatordao-project,CreatorDAO
cruzocards,CruzoCards
curve-labs,Curve-Labs
dappreader,DappReader
desci-asia,DeSci Asia
desciworlddao,DeSciWorld
decentri-fi,Decentrifi
digioracle-klayoracle,DigiOracle
drinkup711,DrinkUp711
etherscore,EtherScore
ethereumjs,EthereumJS
findcaster-limone-eth,Findcaster
flashstake,Flashstake
locutus-freenet,Freenet II
gainforest,GainForest
gemwalletcom,Gem Wallet
glo-foundation,Glo Dollar
gooddollar,GoodDollar
governator-xyz,Governator
honest-work-dao,HonestWork
hotcafe-io,Hotcafe-io
humpysgold,HumpysGold
hypercerts,Hypercerts
hypeshothq,HypeshotHQ
jefetoken,JEFE TOKEN
klayoracle,KlayOracle
lemonatio,Lemon Cash
lighthouseweb3,Lighthouse
llamafolio,LlamaFolio
llamanodes,LlamaNodes
mevboostaa,MEVBoostAA
mindgames-io,MIND Games
metricsdao,MetricsDAO
militereum,Militereum
multicall-mds1,Multicall3
mvua-funds,Mvua-Funds
nftgrowing,NFTGrowing
nethermindeth,Nethermind
omni-x-nft,Omni-X-NFT
omnifluxfi,OmniFluxFi
orbitalorg,OrbitalOrg
otterspace-xyz,Otterspace
overnight,Overnight+
people-dao,People-DAO
pinkpaper,Pink Paper
planetable,Planetable
pristorage-manhnvan,Pristorage
robots-txt-legato-labs,ROBOTS.TXT
rareskills,RareSkills
relumenate,Relumenate
renderhive-projects,Renderhive
replica-io,Replica_IO
revokecash,RevokeCash
welo-hldb,Rough Opal
scinet-inc,SCINET-INC
safehaven-io,Safe Haven
savvy-finance,Savvy DeFi
scribe-dao,Scribe-DAO
scyncro-gh,Scyncro-GH
sendcrypto,SendCrypto
sourcecred,SourceCred
starksheet,Starksheet
superfluid,Superfluid
synfutures,SynFutures
traderjoe-xyz,Trader Joe
travenesia,Travenesia
trueblocks,TrueBlocks
trustalabs,TrustaLabs
unit-chain,Unit-chain
warden-swap,WardenSwap
web3-react-uniswap,Web3-react
web3afrika,Web3Afrika
defi-wonderland,Wonderland
word-block-fat-garage,Word Block
xp-network,XP Network
xy-finance,XY Finance
xen-crypto-faircrypto,Xen Crypto
zhaoge-eth,Zhaoge-eth
abi-to-sol-gnidan,abi-to-sol
accountjs,account.js
akiyaworld,akiyaworld
artgenexyz,artgenexyz
awesomezkp,awesomezkp
azpwnz-org,azpwnz-org
blurtopian,blurtopian
burns-unit,burns-unit
cleanappio,cleanappio
coini-team,coini-team
consenlabs,consenlabs
dappnetbby,dappnetbby
denotalabs,denotalabs
dexfinance-com,dexfinance
divedeepio,divedeepio
doublerpro,doublerpro
ethereumeg,ethereumeg
fat-garage,fat-garage
growthepie,growthepie
hexpay-day,hexpay-day
j-labs-xyz,j-labs-xyz
lolus-test,lolus-tesT
lynx-earth,lynx-earth
mantleswap,mantleswap
moss-drive,moss-drive
mysticswap,mysticswap
nftprotect,nftprotect
ormiwallet,ormiwallet
p2plabsxyz,p2plabsxyz
parmanuxyz,parmanuxyz
raid-guild,raid-guild
rave-names,rave-names
scattering,scattering
sloboworks,sloboworks
smolquants,smolquants
spacevents,spacevents
supremedao,supremedao
tikki-tech,tikki-tech
wagmifund,wagmi fund
web3-warri,web3-Warri
webform-vc,webform-vc
write-link,write-link
zenbit-eth,zenbit.eth
ziktaikdev,ziktaIkdev
zkrankteam,zkRankteam
0xmetacrypt,0xMetacrypt
0xprimordia,0xPrimordia
0xrivendell,0xRivendell
2-pi-network,2Pi Network
defientco,6551 Studio
abracadabra,Abracadabra
aktionariat,Aktionariat
aoraki-labs,Aoraki Labs
arcological-deeplab,Arcological
artist3-nft,Artist3-NFT
beethoven-x,Beethoven X
blocknative,Blocknative
blossomlabs,BlossomLabs
0xbootleggers,Bootleggers
buidlguidl,Buidl Guidl
cidgravity,CID Gravity
catchupdefi,CatchUpDeFi
cellulalife,CellulaLife
chainpatrol,ChainPatrol
codingshdev,CodingshDev
crypto-jobs-crawler,Crypto Jobs
crypto-stats,CryptoStats
cryptofonts,Cryptofonts
cycle-stark,Cycle-Stark
dggtech,DGG Network
dataverse-os,DataverseOS
defi-africa-network,DeFi Africa
desci-latam,DeSci LATAM
deezstealth,DeezStealth
distant-lab,Distant-Lab
ensaawallet,ENSAAWallet
ens-redirect,ENSRedirect
ezswap-labs,EZswap-Labs
edgeapp,Edge Wallet
elk-finance,Elk Finance
eth-rebuild,Eth-Rebuild
etheralpha,Ether Alpha
ethereansos,EthereansOS
ethereum-etl-blockchain-etl,EthereumETL
f3-buidlers,F3 Buidlers
fiat-connect,FiatConnect
fluid-trade,Fluid-Trade
0xfundstarter,FundStarter
gaoanetwork,GAO Network
givestation,GiveStation
gov-w3hc,Gov by w3hc
grayareaorg,GrayAreaorg
here-wallet,HERE Wallet
hodl-totals,HODL Totals
hashkeydid,HashKey DID
hashkeyhub,HashKey Hub
helheimlabs,HelheimLabs
hyperliquid-dex,Hyperliquid
ipfs-search,IPFS Search
ikigai-labs-xyz,Ikigai Labs
iron-wallet,Iron Wallet
justconnect,JUSTConnect
jerrisworld,Jerrisworld
kei-finance,KEI Finance
kns-domains-gwamilabs,KNS Domains
kepler-homes,KeplerHomes
kommodolabs,KommodoLabs
layer2-news,Layer2-News
mesoreefdao,MesoReefDAO
moonbasedao,MoonBaseDAO
nflow-label,Nflow-Label
no-impunity,No-Impunity
n0-computer,Number Zero
oxlaunchpad,OXLaunchpad
open-archive,OpenArchive
optimystics,Optimystics
pancakeswap,PancakeSwap
partituraio,Partituraio
popcorn-limited,Popcorn DAO
proxifydao,ProXify DAO
protocolfun,ProtocolFun
hausdao,Public HAUS
publicnouns,PublicNouns
rarimo,Rarify Labs
reaper-farm,Reaper Farm
rocket-pool,Rocket Pool
rooted-club,Rooted-Club
safeyields,Safe Yields
soulwallet,Soul Wallet
stableunit,Stable Unit
switchboard-xyz,Switchboard
synthetixio,Synthetixio
the-nextgem,THE-NEXTGEM
talentlayer-labs,TalentLayer
techstationspace,Techstation
thelandgame,TheLandGame
treasureproject,TreasureDAO
truelevelsa,TrueLevelSA
twiststudio,TwistStudio
unimuseumio,UNIMUSEUMio
unishopteam,UNISHOPTeam
upchain-lbc-team,Upchain DAO
votechain23,Votechain23
woonetwork,WOO Network
wtfacademy,WTF Academy
wakeuplabs,WakeUp Labs
walletx-inc,WalletX-Inc
gupta977,Web3 Domain
whitehatdao,WhiteHatDAO
zns-connect,ZNS-Connect
blockful-io,blockful-io
carbontribe,carbontribe
chainwayxyz,chainwayxyz
curiosi3org,curiosi3org
dbookmarket,dBookMarket
db3-dbpunk-labs,db3 network
drum-n-bass,drum-n-bass
ethpandaops,ethPandaOps
ether-actor-iainnash,ether.actor
fruteroclub,fruteroclub
gnosischain,gnosischain
hackdays-io,hackdays-io
hidden-moss,hidden-moss
indexed-xyz,indexed.xyz
kontext-app,kontext-app
lokibuilder,lokibuilder
mycelia-uni,mycelia-uni
pact-social,pact-social
proofofbeer,proofofbeer
refiuruguay,refiuruguay
savour-labs,savour-labs
scamsniffer,scamsniffer
shadowsocks,shadowsocks
solowcripto,solowcripto
spaghetteth,spaghettETH
spilnotaxyz,spilnotaxyz
stake-house,stake-house
sym-poiesis,sym-poiesis
tillies-xyz,tillies-xyz
universexyz,universexyz
xparametric,xParametric
zenguardxyz,zenguardxyz
zerufinance,zerufinance
0xlighthouse,0xLighthouse
aestus-relay,Aestus Relay
alpsfinance,Alps Finance
ante-finance,Ante Finance
buk-protocol,BUK-protocol
banklessdao,Bankless DAO
basicbeasts,Basic Beasts
beacon-chain,Beacon Chain
blocktrendtw,Blocktrendtw
boringsecdao,BoringSecDAO
cpa-protocol,CPA Protocol
campus-voice,Campus-Voice
candide-labs,Candide Labs
coinpassport,Coinpassport
hicommonwealth,Commonwealth
cozy-finance,Cozy Finance
crate-crypto,Crate Crypto
cyberconnecthq,CyberConnect
decentragora,DecentrAgora
deltaport-io,Deltaport.io
gaia-os,Digital Gaia
ethereumbarcelona,ETHBarcelona
eden-network,Eden Network
elefria-labs,Elefria-Labs
ensofinance,Enso Finance
ethernautdao,EthernautDAO
flaq-academy,Flaq Academy
fluencelabs,Fluence Labs
fraxfinance,Frax Finance
freezingmoon,FreezingMoon
fuji-finance,Fuji Finance
glamguerilla,GLAMguerilla
glacier-labs,Glacier-Labs
gonadviceorg,GonAdviceOrg
harambeeapps,HarambeeApps
herstoryweb3,HerstoryWeb3
hop-protocol,Hop Protocol
hyperoracle,Hyper Oracle
idle-finance,Idle Finance
impactscribe,ImpactScribe
impersonator-eth,Impersonator
indexsupply,Index Supply
dna-seq,Just DNA-Seq
kleo-network,Kleo Network
lit-protocol,Lit Protocol
lunargistics,Lunargistics
lyra-finance,Lyra Finance
mapprotocol,MAP Protocol
mux-world,MUX Protocol
mean-finance,Mean Finance
merkletreejs,MerkleTreeJS
momentum-xyz,Momentum.xyz
monkeyempire,MonkeyEmpire
moonlandmeta,MoonlandMeta
openethereum,OpenEthereum
openleveragedev,OpenLeverage
openzeppelin,OpenZeppelin
opti-domains,Opti.domains
optimism-box-truffle,Optimism Box
orphic-verse,Orphic Verse
phi-labs-inc,PHI-LABS-INC
parametry-ai,Parametry-ai
perennis-dev,Perennis-dev
personachain,PersonaChain
